year;title;author_lastname;author_firstname;gender;pub_year;pub_year_clean;fantasy;epoch;BW;BY;BE;BB;HB;HH;HE;MV;NI;NW;RP;SL;SN;ST;SH;TH
2026;Über das Marionettentheater;Kleist;Heinrich;m;1810;1810;0;Klassisk, Romantik, Weimarer Republik;;;;;;;;;1;;;;;;;
2021;Über die ästetische Erziehung der Menschen in einer Reihe von Briefen;Schiller;Friedrich;m;1795;1795;0;Weimarer Klassik;;;;;;;;;1;;;;;;;
2013;Über die Bezeichnung Emigranten;Brecht;Bertolt;m;1937;1937;0;Exilliteratur;;;;;;1;;;;;;;;;;
2014;Über die Bezeichnung Emigranten;Brecht;Bertolt;m;1937;1937;0;Exilliteratur;;;;;;1;;;;;;;;;;
2023;Appell an den Geist;Mühsam;Erich;m;1911;1911;0;Romantik, Moderne;;;;;;;;;1;;;;;;;
2010;Aus dem Leben eines Taugenichts;Eichendorff;Joseph;m;1826;1826;0;Romantik;;;;;1;;;;;;;;;;;
2011;Aus dem Leben eines Taugenichts;Eichendorff;Joseph;m;1826;1826;0;Romantik;;;;;;1;;;;;;;;;;
2015;Aus dem Leben eines Taugenichts;Eichendorff;Joseph;m;1826;1826;0;Romantik;;;;;1;;;;;;;;;;;
2016;Aus dem Leben eines Taugenichts;Eichendorff;Joseph;m;1826;1826;0;Romantik;;;;;1;;;;;;;;;;;
2017;Aus dem Leben eines Taugenichts;Eichendorff;Joseph;m;1826;1826;0;Romantik;;;;;1;;;;;;;;;;;
2019;Aus dem Leben eines Taugenichts;Eichendorff;Joseph;m;1826;1826;0;Romantik;;;;;;;1;;;;;;;;;
2020;Aus dem Leben eines Taugenichts;Eichendorff;Joseph;m;1826;1826;0;Romantik;;;;;;;1;;;;;;;;;
2021;Aus dem Leben eines Taugenichts;Eichendorff;Joseph;m;1826;1826;0;Romantik;;;;;;;1;;;;;;;;;
2006;Bahnwärter Thiel;Hauptmann;Gerhart;m;1888;1888;0;Naturalismus;;;;;;;;;;;;;1;;;
2007;Bahnwärter Thiel;Hauptmann;Gerhart;m;1888;1888;0;Naturalismus;;;;;;;;;;;;;1;;;
2017;Bahnwärter Thiel;Hauptmann;Gerhart;m;1888;1888;0;Naturalismus;;;;;;1;;;;;;;;;;
2018;Bahnwärter Thiel;Hauptmann;Gerhart;m;1888;1888;0;Naturalismus;;;;;;1;;;;;;;;;;
2024;Bahnwärter Thiel;Hauptmann;Gerhart;m;1888;1888;0;Naturalismus;;;;;;;;;;;;1;;;;
2025;Bahnwärter Thiel;Hauptmann;Gerhart;m;1888;1888;0;Naturalismus;;;;;;;;;1;;;;;;;
2026;Bahnwärter Thiel;Hauptmann;Gerhart;m;1888;1888;0;Naturalismus;;;;;;;;;;;;1;;;;
2012;Bei den weißen Stiefmütterchen;Kirsch;Sarah;f;1967;1967;0;Moderne;;;;;;;;;1;;;;;;;
2008;Bekenntnisse des Hochstaplers Felix Krull;Mann;Thomas;m;1922;1922;0;Moderne;;;;;;;;;1;;;;;;;
2011;Bekenntnisse des Hochstaplers Felix Krull;Mann;Thomas;m;1922;1922;0;Moderne;;;;;;1;;;;;;;;;;
2012;Bekenntnisse des Hochstaplers Felix Krull;Mann;Thomas;m;1922;1922;0;Moderne;;;;;;1;;;;;;;;;;
2023;Bekenntnisse des Hochstaplers Felix Krull;Mann;Thomas;m;1922;1922;0;Moderne;1;;;;;;;;;;;;;;;
2014;Berlin Alexanderplatz;Döblin;Alfred;m;1929;1929;0;Weimarer Republik;;;;;1;;;;;;;;;;;
2015;Berlin Alexanderplatz;Döblin;Alfred;m;1929;1929;0;Weimarer Republik;;;;;1;;;;;;;;;;;
