"","book1","book2","count","years","states"
"55","Antigone","Die Blechtrommel",1,"2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016","BB, SN"
"56","Antigone","Die Physiker",10,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016","BB, HE, NI, SN"
"57","Antigone","Die Verwandlung",6,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021","BB, HB, HE, NI, NW, SN"
"58","Antigone","Effi Briest",1,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2024, 2025, 2026","BB, HE, HH, SH, SN"
"59","Antigone","Emilia Galotti",1,"2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2019, 2020, 2024, 2025, 2026","BB, HB, HH, SN"
"60","Antigone","Faust I",3,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026","BB, BW, HB, HE, HH, NI, NW, SL, SN"
"61","Antigone","Hamlet",8,"2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022","BB, SN"
"62","Antigone","Heldenplatz",1,"2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016","BB, SN"
"63","Antigone","Hiob",1,"2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2024, 2025, 2026","BB, NW, SH, SN"
"64","Antigone","Im Krebsgang",5,"2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016","BB, HH, SN"
"65","Antigone","Iphigenie auf Tauris",1,"2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2021, 2022","BB, BE, HB, HH, NI, NW, SN"
"66","Antigone","Jakob der Lügner",8,"2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2018, 2019, 2020","BB, HB, SN"
"67","Antigone","Katz und Maus",1,"2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2022","BB, HH, NI, SN"
"68","Antigone","Leben des Galilei",2,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2021, 2022, 2023, 2024, 2025","BB, BW, HE, SN"
"69","Antigone","Maria Stuart",8,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026","BB, BE, HB, HE, HH, SH, SN"
"70","Antigone","Mario und der Zauberer",1,"2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2021, 2022, 2023, 2024, 2025, 2026","BB, BW, HB, HE, HH, NI, NW, SN"
"71","Antigone","Mephisto",1,"2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016","BB, SN"
"72","Antigone","Michael Kohlhaas",2,"2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2026","BB, HB, HE, HH, SH, SN"
"73","Antigone","Schachnovelle",2,"2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016","BB, SN"
"74","Antigone","Tod in Venedig",1,"2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016","BB, HH, SN"
"75","Antigone","Tonio Kröger",4,"2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016","BB, SN"
"76","Antigone","Undine",4,"2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026","BB, SN"
"77","Antigone","Woyzeck",3,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026","BB, BE, BW, HB, HE, HH, NI, NW, SH, SN"
"78","Appell an den Geist","Bruder Hitler",1,"2023","NI"
"79","Appell an den Geist","Der Untertan",1,"2023, 2024","HH, NI"
"80","Appell an den Geist","Mario und der Zauberer",1,"2006, 2013, 2014, 2015, 2021, 2022, 2023, 2024, 2025, 2026","BW, HB, HE, HH, NI, NW, SN"
"81","Aus dem Leben eines Taugenichts","Bekenntnisse des Hochstaplers Felix Krull",1,"2008, 2010, 2011, 2012, 2015, 2016, 2017, 2019, 2020, 2021, 2023","BW, HB, HE, HH, NI"
"82","Aus dem Leben eines Taugenichts","Berlin Alexanderplatz",2,"2010, 2011, 2014, 2015, 2016, 2017, 2019, 2020, 2021","HB, HE, HH, NI"
"83","Aus dem Leben eines Taugenichts","Corpus Delicti",3,"2010, 2011, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026","BB, BE, BW, HB, HE, HH, SL, SN"
"84","Aus dem Leben eines Taugenichts","Dantons Tod",1,"2008, 2009, 2010, 2011, 2015, 2016, 2017, 2018, 2019, 2020, 2021","BW, HB, HE, HH, NI"
"85","Aus dem Leben eines Taugenichts","Das Schloss",2,"2010, 2011, 2014, 2015, 2016, 2017, 2019, 2020, 2021","HB, HE, HH"
"86","Aus dem Leben eines Taugenichts","Der Augsburger Kreidekreis",1,"2010, 2011, 2015, 2016, 2017, 2018, 2019, 2020, 2021","HB, HE, HH"
"87","Aus dem Leben eines Taugenichts","Der Process",2,"2010, 2011, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2026","HB, HE, HH, NW, SN"
"88","Aus dem Leben eines Taugenichts","Der Sandmann",3,"2006, 2007, 2008, 2009, 2010, 2011, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2025, 2026","HB, HE, HH, NW, SN"
"89","Aus dem Leben eines Taugenichts","Der gute Mensch von Sezuan",1,"2010, 2011, 2015, 2016, 2017, 2018, 2019, 2020, 2021","HB, HE, HH"
"90","Aus dem Leben eines Taugenichts","Die Dreigroschenoper",1,"2010, 2011, 2015, 2016, 2017, 2018, 2019, 2020, 2021","HB, HE, HH"
"91","Aus dem Leben eines Taugenichts","Die Jahre der Liebe",1,"2010, 2011, 2015, 2016, 2017, 2019, 2020, 2021","HB, HE, HH"
"92","Aus dem Leben eines Taugenichts","Die Räuber",1,"2010, 2011, 2012, 2015, 2016, 2017, 2019, 2020, 2021","HB, HE, HH"
"93","Aus dem Leben eines Taugenichts","Die Verwandlung",5,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021","HB, HE, HH, NI, NW, SN"
"94","Aus dem Leben eines Taugenichts","Die heilige Johanna der Schlachthöfe",1,"2010, 2011, 2015, 2016, 2017, 2018, 2019, 2020, 2021","HB, HE, HH"
"95","Aus dem Leben eines Taugenichts","Die unwürdige Greisin",1,"2010, 2011, 2015, 2016, 2017, 2018, 2019, 2020, 2021","HB, HE, HH"
"96","Aus dem Leben eines Taugenichts","Faserland",1,"2010, 2011, 2013, 2015, 2016, 2017, 2019, 2020, 2021","HB, HE, HH, NI"
"97","Aus dem Leben eines Taugenichts","Faust I",3,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026","BW, HB, HE, HH, NI, NW, SL, SN"
"98","Aus dem Leben eines Taugenichts","Herr Lehmann",1,"2010, 2011, 2015, 2016, 2017, 2019, 2020, 2021","HB, HE, HH"
"99","Aus dem Leben eines Taugenichts","In der Strafkolonie",2,"2010, 2011, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026","BW, HB, HE, HH, SN"
"100","Aus dem Leben eines Taugenichts","Kleiner Mann - was nun?",2,"2010, 2011, 2014, 2015, 2016, 2017, 2019, 2020, 2021","HB, HE, HH, NI"
"101","Aus dem Leben eines Taugenichts","Lenz",1,"2007, 2008, 2009, 2010, 2011, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021","HB, HE, HH, NI"
"102","Aus dem Leben eines Taugenichts","Leonce und Lena",1,"2009, 2010, 2011, 2015, 2016, 2017, 2019, 2020, 2021, 2024","HB, HE, HH, NI"
"103","Aus dem Leben eines Taugenichts","Masse-Mensch",2,"2010, 2011, 2014, 2015, 2016, 2017, 2019, 2020, 2021","HB, HE, HH"
"104","Aus dem Leben eines Taugenichts","Michael Kohlhaas",3,"2007, 2009, 2010, 2011, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2026","HB, HE, HH, SH, SN"
"105","Aus dem Leben eines Taugenichts","Peter Schlemihls wundersame Geschichte",3,"2010, 2011, 2015, 2016, 2017, 2019, 2020, 2021","HB, HE, HH"
"106","Aus dem Leben eines Taugenichts","Von morgens bis mitternachts",2,"2010, 2011, 2014, 2015, 2016, 2017, 2019, 2020, 2021","HB, HE, HH"
"107","Aus dem Leben eines Taugenichts","Woyzeck",4,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026","BB, BE, BW, HB, HE, HH, NI, NW, SH, SN"
"108","Bahnwärter Thiel","Corpus Delicti",1,"2006, 2007, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026","BB, BE, BW, HB, HE, HH, NI, SL, SN"
"109","Bahnwärter Thiel","Der Besuch der alten Dame",1,"2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026","HH, NI, SL, SN"
"110","Bahnwärter Thiel","Der Hessische Landbote",1,"2006, 2007, 2017, 2018, 2021, 2022, 2023, 2024, 2025, 2026","HB, HH, NI, SL, SN"
"111","Bahnwärter Thiel","Der Sandmann",1,"2006, 2007, 2008, 2009, 2010, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026","HB, HE, HH, NI, NW, SL, SN"
"112","Bahnwärter Thiel","Der Steppenwolf",1,"2006, 2007, 2009, 2010, 2011, 2012, 2017, 2018, 2019, 2020, 2021, 2022, 2024, 2025, 2026","BW, HH, NI, SL, SN"
"113","Bahnwärter Thiel","Der Verbrecher aus verlorener Ehre",2,"2006, 2007, 2017, 2018, 2024, 2025, 2026","HH, NI, SL, SN"
"114","Bahnwärter Thiel","Der Vorleser",1,"2006, 2007, 2017, 2018, 2024, 2025, 2026","BB, HH, NI, SL, SN"
"115","Bahnwärter Thiel","Der ewige Spießer",1,"2006, 2007, 2017, 2018, 2024, 2025, 2026","HH, NI, SL, SN"
"116","Bahnwärter Thiel","Der zerbrochne Krug",1,"2006, 2007, 2015, 2016, 2017, 2018, 2024, 2025, 2026","BB, BE, BW, BY, HB, HE, HH, MV, NI, NW, RP, SH, SL, SN, ST, TH"
"117","Bahnwärter Thiel","Deutschland. Ein Wintermärchen",2,"2006, 2007, 2017, 2018, 2021, 2022, 2023, 2024, 2025, 2026","HB, HH, NI, SL, SN"
"118","Bahnwärter Thiel","Die Berliner Antigone",1,"2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2024, 2025, 2026","HH, NI, SL, SN"
"119","Bahnwärter Thiel","Die Judenbuche",2,"2006, 2007, 2017, 2018, 2024, 2025, 2026","HH, NI, SL, SN"
"120","Bahnwärter Thiel","Die Physiker",2,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2024, 2025, 2026","HE, HH, NI, SL, SN"
"121","Bahnwärter Thiel","Die Verwandlung",2,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2024, 2025, 2026","HB, HE, HH, NI, NW, SL, SN"
"122","Bahnwärter Thiel","Die verlorene Ehre der Katharina Blum",2,"2006, 2007, 2017, 2018, 2024, 2025, 2026","HH, NI, SL, SN"
"123","Bahnwärter Thiel","Effi Briest",1,"2006, 2007, 2008, 2017, 2018, 2024, 2025, 2026","HE, HH, NI, SH, SL, SN"
"124","Bahnwärter Thiel","Faust I",4,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026","BW, HB, HE, HH, NI, NW, SL, SN"
"125","Bahnwärter Thiel","Furor. Theater der Gegenwart",1,"2006, 2007, 2017, 2018, 2024, 2025, 2026","HH, NI, SL, SN"
"126","Bahnwärter Thiel","Heimsuchung",1,"2006, 2007, 2017, 2018, 2024, 2025, 2026","BB, BE, BW, BY, HB, HE, HH, MV, NI, NW, RP, SH, SL, SN, ST, TH"
"127","Bahnwärter Thiel","Heldenplatz",1,"2006, 2007, 2017, 2018, 2024, 2025, 2026","HH, NI, SL, SN"
"128","Bahnwärter Thiel","Hiob",1,"2006, 2007, 2014, 2015, 2016, 2017, 2018, 2024, 2025, 2026","HH, NI, NW, SH, SL, SN"
"129","Bahnwärter Thiel","Im Krebsgang",1,"2006, 2007, 2009, 2010, 2011, 2012, 2017, 2018, 2024, 2025, 2026","HH, NI, SL, SN"
"130","Bahnwärter Thiel","Leben des Galilei",2,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2017, 2018, 2021, 2022, 2023, 2024, 2025, 2026","BW, HE, HH, NI, SL, SN"
"131","Bahnwärter Thiel","Mario und der Zauberer",1,"2006, 2007, 2013, 2014, 2015, 2017, 2018, 2021, 2022, 2023, 2024, 2025, 2026","BW, HB, HE, HH, NI, NW, SL, SN"
"132","Bahnwärter Thiel","Mephisto",1,"2006, 2007, 2017, 2018, 2024, 2025, 2026","HH, NI, SL, SN"
"133","Bahnwärter Thiel","Michael Kohlhaas",3,"2006, 2007, 2009, 2017, 2018, 2019, 2020, 2021, 2024, 2025, 2026","HB, HE, HH, NI, SH, SL, SN"
"134","Bahnwärter Thiel","Schachnovelle",1,"2006, 2007, 2009, 2017, 2018, 2024, 2025, 2026","HH, NI, SL, SN"
"135","Bahnwärter Thiel","Tod in Venedig",1,"2006, 2007, 2017, 2018, 2024, 2025, 2026","HH, NI, SL, SN"
"136","Bahnwärter Thiel","Verbrechen",2,"2006, 2007, 2017, 2018, 2024, 2025, 2026","HH, NI, SL, SN"
"137","Bahnwärter Thiel","Woyzeck",5,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026","BB, BE, BW, HB, HE, HH, NI, NW, SH, SL, SN"
"138","Bei den weißen Stiefmütterchen","Der Spinnerin Nachtlied",1,"2009, 2012","NI"
"139","Bei den weißen Stiefmütterchen","Die Physiker",1,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016","HE, NI, SN"
"140","Bei den weißen Stiefmütterchen","Entdeckung an einer jungen Frau",1,"2012","NI"
"141","Bei den weißen Stiefmütterchen","Römische Elegien",1,"2012, 2021","NI"
"142","Bei den weißen Stiefmütterchen","Under der linden",1,"2012","NI"
"143","Bekenntnisse des Hochstaplers Felix Krull","Corpus Delicti",1,"2008, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026","BB, BE, BW, HB, HE, HH, NI, SL, SN"
"144","Bekenntnisse des Hochstaplers Felix Krull","Das Marmorbild",1,"2007, 2008, 2009, 2011, 2012, 2021, 2022, 2023, 2024, 2025","BB, BE, BW, HE, HH, NI"
"145","Bekenntnisse des Hochstaplers Felix Krull","Der Findling",1,"2008, 2011, 2012, 2023","BW, HH, NI"
"146","Bekenntnisse des Hochstaplers Felix Krull","Der Trafikant",1,"2008, 2011, 2012, 2021, 2022, 2023, 2024, 2025","BW, HH, NI, NW"
"147","Bekenntnisse des Hochstaplers Felix Krull","Der Verschollene",1,"2008, 2011, 2012, 2015, 2016, 2023, 2024, 2025, 2026","BW, HH, NI, SH"
"148","Bekenntnisse des Hochstaplers Felix Krull","Die Jahre der Liebe",1,"2008, 2011, 2012, 2023","BW, HH, NI"
"149","Bekenntnisse des Hochstaplers Felix Krull","Die Räuber",2,"2008, 2011, 2012, 2023","BW, HH, NI"
"150","Bekenntnisse des Hochstaplers Felix Krull","Faust I",1,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026","BW, HB, HE, HH, NI, NW, SL, SN"
"151","Bekenntnisse des Hochstaplers Felix Krull","Leben des Galilei",1,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2021, 2022, 2023, 2024, 2025","BW, HE, HH, NI, SN"
"152","Bekenntnisse des Hochstaplers Felix Krull","Lenz",1,"2007, 2008, 2009, 2010, 2011, 2012, 2014, 2015, 2016, 2017, 2018, 2023","BW, HB, HE, HH, NI"
"153","Bekenntnisse des Hochstaplers Felix Krull","Mario und der Zauberer",1,"2006, 2008, 2011, 2012, 2013, 2014, 2015, 2021, 2022, 2023, 2024, 2025, 2026","BW, HB, HE, HH, NI, NW, SN"
"154","Bekenntnisse des Hochstaplers Felix Krull","Woyzeck",2,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026","BB, BE, BW, HB, HE, HH, NI, NW, SH, SN"
"155","Berlin Alexanderplatz","Das Schloss",3,"2014, 2015, 2016, 2020","HB, NI"
"156","Berlin Alexanderplatz","Der Process",3,"2013, 2014, 2015, 2016, 2017, 2018, 2020, 2026","HB, HE, NI, NW, SN"
"157","Berlin Alexanderplatz","Der Sandmann",2,"2006, 2007, 2008, 2009, 2010, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2025, 2026","HB, HE, NI, NW, SN"
"158","Berlin Alexanderplatz","Die Verwandlung",3,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021","HB, HE, NI, NW, SN"
"159","Berlin Alexanderplatz","Fabian. Die Geschichte eines Moralisten",1,"2014, 2015, 2016, 2020","HB, NI"
"160","Berlin Alexanderplatz","In der Strafkolonie",3,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026","BW, HB, NI, SN"
"161","Berlin Alexanderplatz","Kleiner Mann - was nun?",4,"2014, 2015, 2016, 2020","HB, NI"
"162","Berlin Alexanderplatz","Masse-Mensch",3,"2014, 2015, 2016, 2020","HB, NI"
"163","Berlin Alexanderplatz","Peter Schlemihls wundersame Geschichte",2,"2014, 2015, 2016, 2017, 2020","HB, NI"
"164","Berlin Alexanderplatz","Von morgens bis mitternachts",3,"2014, 2015, 2016, 2020","HB, NI"
"165","Blüthenstaub","Der Philister vor, in und nach der Geschichte",1,"2022","NI"
"166","Blüthenstaub","Der goldne Topf",1,"2019, 2020, 2021, 2022","BW, NI"
"167","Blüthenstaub","Katz und Maus",1,"2006, 2022","BB, HH, NI"
"168","Blüthenstaub","Unter der Drachenwand",1,"2022, 2023, 2024, 2025","NI, NW"
"169","Brief an den Prinzen friedrich Christian II","Die Horen",1,"2021","NI"
"170","Brief an den Prinzen friedrich Christian II","Iphigenie auf Tauris",1,"2006, 2007, 2011, 2012, 2013, 2014, 2015, 2021, 2022","BB, BE, HB, HH, NI, NW"
"171","Brief an den Prinzen friedrich Christian II","Italienische Reise",1,"2021","NI"
"172","Brief an den Prinzen friedrich Christian II","Römische Elegien",1,"2012, 2021","NI"
"173","Brief des Lord Chandos","Buddenbrooks",2,"2006, 2007, 2008, 2009, 2010, 2013, 2014, 2015, 2016","HE, HH, NI, NW"
"174","Brief des Lord Chandos","Das Göttliche",1,"2006, 2007, 2013, 2014, 2015, 2016, 2023, 2024, 2025, 2026","HE, NI, NW, SH"
"175","Brief des Lord Chandos","Das Parfum",2,"2006, 2007, 2013, 2014, 2015, 2016, 2017, 2018","HE, NI, NW"
"176","Brief des Lord Chandos","Das Urteil",1,"2006, 2007, 2011, 2012, 2013, 2014, 2015, 2016","HE, NI, NW"
"177","Brief des Lord Chandos","Das kunstseidene Mädchen",1,"2006, 2007, 2013, 2014, 2015, 2016, 2025, 2026","HE, HH, NI, NW"
"178","Brief des Lord Chandos","Der Process",3,"2006, 2007, 2013, 2014, 2015, 2016, 2017, 2018, 2026","HB, HE, NI, NW, SN"
"179","Brief des Lord Chandos","Die Jungfrau von Orleans",2,"2006, 2007, 2013, 2014, 2015, 2016, 2017, 2018","HE, NI, NW"
"180","Brief des Lord Chandos","Die Marquise von O.",2,"2006, 2007, 2011, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2026","HE, HH, NI, NW"
"181","Brief des Lord Chandos","Die Verwandlung",3,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021","HB, HE, NI, NW, SN"
"182","Brief des Lord Chandos","Don Karlos: Infant von Spanien",1,"2006, 2007, 2008, 2011, 2012, 2013, 2014, 2015, 2016","HE, HH, NI, NW"
"183","Brief des Lord Chandos","Ein Wort",2,"2006, 2007, 2013, 2014, 2015, 2016","HE, NI, NW"
