"","book1","book2","count","years","states"
"1","Abendstimmung in Scheveningen","Die Leiden des jungen Werthers",2,"2006, 2008, 2010, 2013, 2014","HB, HH, NI"
"2","Abendstimmung in Scheveningen","Emigranten-Monolog",2,"2013, 2014","HH"
"3","Abendstimmung in Scheveningen","Im Kreise gelausen",2,"2013, 2014","HH"
"4","Abendstimmung in Scheveningen","Man frage nicht",2,"2013, 2014","HH"
"5","Abendstimmung in Scheveningen","Mein blaues Klavier",1,"2013, 2014","HH"
"6","Abendstimmung in Scheveningen","Räuberbande",2,"2013, 2014","HH"
"7","Abendstimmung in Scheveningen","Schlechte Zeiten für Lyrik",2,"2007, 2013, 2014","HH, NI"
"8","Abendstimmung in Scheveningen","Ziehende Landschaft",2,"2013, 2014","HH"
"9","Abendstimmung in Scheveningen","Über die Bezeichnung Emigranten",2,"2013, 2014","HH"
"10","Abschied von den Eltern","Das Muschelessen",1,"2010","HH"
"11","Abschied von den Eltern","Der Hofmeister",1,"2010","HH"
"12","Abschied von den Eltern","Der Sonntag, an dem ich Weltmeister wurde",1,"2010","HH"
"13","Abschied von den Eltern","Die Soldaten",1,"2008, 2010","HB, HH"
"14","Abschied von den Eltern","Einer",1,"2010","HH"
"15","Abschied von den Eltern","Woyzeck",1,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026","BB, BE, BW, HB, HE, HH, NI, NW, SH, SN"
"16","Ach Liebste / laß uns eilen","Bei den weißen Stiefmütterchen",1,"2012","NI"
"17","Ach Liebste / laß uns eilen","Der Spinnerin Nachtlied",1,"2009, 2012","NI"
"18","Ach Liebste / laß uns eilen","Die Physiker",1,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016","HE, NI, SN"
"19","Ach Liebste / laß uns eilen","Entdeckung an einer jungen Frau",1,"2012","NI"
"20","Ach Liebste / laß uns eilen","Römische Elegien",1,"2012, 2021","NI"
"21","Ach Liebste / laß uns eilen","Under der linden",1,"2012","NI"
"22","Agnes","Dantons Tod",2,"2008, 2009, 2010, 2017, 2018","BW, HB, HH, NI"
"23","Agnes","Homo faber",2,"2007, 2008, 2017, 2018","BW, HE"
"24","An die Nachgeborenen","Brief des Lord Chandos",1,"2006, 2007, 2013, 2014, 2015, 2016","HE, NI, NW"
"25","An die Nachgeborenen","Ein Wort",1,"2006, 2007","NI"
"26","An die Nachgeborenen","Ich fürchte mich so vor der Menschen Wort",1,"2006, 2007","NI"
"27","An die Nachgeborenen","Kaspar Hauser Lied",1,"2007","NI"
"28","An die Nachgeborenen","Lenz",1,"2007, 2008, 2009, 2010, 2014, 2015, 2016, 2017, 2018","HB, HE, NI"
"29","An die Nachgeborenen","Medea. Stimmen",1,"2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026","HE, NI, SN"
"30","An die Nachgeborenen","Nachtcafé",1,"2007","NI"
"31","An die Nachgeborenen","Schlechte Zeiten für Lyrik",1,"2007, 2013, 2014","HH, NI"
"32","An die Nachgeborenen","Woyzeck",1,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026","BB, BE, BW, HB, HE, HH, NI, NW, SH, SN"
"33","Anekdote aus dem letzten preußischen Kriege","Das Erdbeben in Chili",1,"2011","NI"
"34","Anekdote aus dem letzten preußischen Kriege","Der Zauberlehrling",1,"2011","NI"
"35","Anekdote aus dem letzten preußischen Kriege","Die Marquise von O.",1,"2007, 2011, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2026","HE, HH, NI, NW"
"36","Anekdote aus dem letzten preußischen Kriege","Die Physiker",1,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016","HE, NI, SN"
"37","Anekdote aus dem letzten preußischen Kriege","Ein Volksfeind",1,"2011","NI"
"38","Anekdote aus dem letzten preußischen Kriege","Lob des Lernens",1,"2011","NI"
"39","Anekdote aus dem letzten preußischen Kriege","Lob des Zweifels",1,"2011","NI"
"40","Anekdote aus dem letzten preußischen Kriege","Mutterliebe",1,"2011","NI"
"41","Ansichten eines Clowns","Franziska Linkerhand",1,"2009","HH"
"42","Ansichten eines Clowns","Penthesilea",1,"2009","HH"
"43","Ansichten eines Clowns","Prinz Friedrich von Homburg",1,"2009, 2013, 2014, 2015, 2016, 2017, 2018","HE, HH, NW"
"44","Ansichten eines Clowns","Tauben im Gras",1,"2009, 2013, 2014, 2015","HH, NW"
"45","Ansichten eines Clowns","Vor Sonnenaufgang",1,"2009","HH"
"46","Antigone","Bahnwärter Thiel",2,"2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2024, 2025, 2026","BB, HH, NI, SL, SN"
"47","Antigone","Corpus Delicti",4,"2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026","BB, BE, BW, HB, HE, SL, SN"
"48","Antigone","Der Besuch der alten Dame",9,"2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026","BB, SN"
"49","Antigone","Der Process",4,"2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2026","BB, HB, HE, NW, SN"
"50","Antigone","Der Sandmann",1,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2025, 2026","BB, HB, HE, NW, SN"
"51","Antigone","Der Steppenwolf",5,"2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2019, 2020, 2021, 2022","BB, BW, SN"
"52","Antigone","Der Vorleser",2,"2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016","BB, SN"
"53","Antigone","Der blonde Eckbert",3,"2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016","BB, SN"
"54","Antigone","Die Berliner Antigone",9,"2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016","BB, SN"
