"","title_original","author_lastname","author_firstname","pub_year","language_codes","series_first"
"1","Die Dreigroschenoper","Brecht","Bertolt","c 2012","ger","20"
"2","In der Strafkolonie","Kafka","Franz","2022","cze || ger","1400"
"3","Die Räuber","Schiller","Friedrich","1957","ger","#11#Ausgewählte Werke / Schiller"
"4","Maria Stuart","Schiller","Friedrich","1958","ger","#14#Ausgewählte Werke / Schiller"
"5","Der Steppenwolf","Hesse","Hermann","1956","ger","#st#!456974121!Gesammelte Werke [in Einzelbänden] / Hermann Hesse"
"6","Kleiner Mann - was nun?","Fallada","Hans","2007","fre || ger","& d'ailleurs"
"7","Die Räuber","Schiller","Friedrich","2005","ger","... einfach klassisch"
"8","Kabale und Liebe","Schiller","Friedrich","2005","ger","... einfach klassisch"
"9","Nathan der Weise","Lessing","Gotthold Ephraim","2005","ger","... einfach klassisch"
"10","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","2008","ger","... einfach klassisch"
"11","Die Judenbuche","Droste-Hülshoff","Annette","2008","ger","... einfach klassisch"
"12","Maria Stuart","Schiller","Friedrich","2009","ger","... einfach klassisch"
"13","Die Marquise von O.","Kleist","Heinrich","2010","ger","... einfach klassisch"
"14","Schachnovelle","Zweig","Stefan","2013","ger","... einfach klassisch"
"15","Die Ratten","Hauptmann","Gerhart","2009","ger","... Hamburger Leseheft"
"16","Ein Volksfeind","Ibsen","Henrik","2010","ger || nor","... Hamburger Leseheft"
"17","Hiob","Roth","Joseph","2010","ger","... Hamburger Leseheft"
"18","Das Schloss","Kafka","Franz","2010","ger","... Hamburger Leseheft"
"19","Der blonde Eckbert","Tieck","Ludwig","2011","ger","... Hamburger Leseheft"
"20","Dantons Tod","Büchner","Georg","2008","ger","... Hamburger-Leseheft"
"21","Iphigenie auf Tauris","Goethe","Johann Wolfgang","2011","ger","... Hamburger-Leseheft"
"22","Die Verwandlung","Kafka","Franz","2012","ger","... Hamburger-Leseheft"
"23","Geschichten aus dem Wiener Wald. Volksstück in drei Teilen","Horváth","Ödön","2009","ger","... Hamburger-Leseheft"
"24","Michael Kohlhaas","Kleist","Heinrich","2011","ger","... Hamburger-Leseheft"
"25","Kabale und Liebe","Schiller","Friedrich","2012","ger","... Hamburger-Leseheft"
"26","Die Jahre der Liebe","Nizon","Paul","1999","ger || fre","... Jahre Erscheinungen"
"27","Die Physiker","Dürrenmatt","Friedrich","[2018]","cze || ger","; sv. 140"
"28","Der Besuch der alten Dame","Dürrenmatt","Friedrich","2018","cze || ger","; svazek 139"
"29","Nathan der Weise","Lessing","Gotthold Ephraim","2005 || 2005","ara","??????? ?????? ???????"
"30","Maria Stuart","Schiller","Friedrich","1381 h.š. [2002]","per || ger","???r-i nam?yiš? "
"31","Im Westen Nichts Neues","Remarque","Erich Maria","1963","ger","?epna Biblioteka"
"32","Homo faber","Frisch","Max","1996","cze || ger","?eskı klub"
"33","Tonio Kröger","Mann","Thomas","2006","mac || ger","?etvrt biblioteka"
"34","Der Steppenwolf","Hesse","Hermann","2007","mac || ger","?etvrt biblioteka"
"35","Die Leiden des jungen Werthers","Goethe","Johann Wolfgang","1979","ger","?itanie študujc?ej mld?ee"
"36","Die Leiden des jungen Werthers","Goethe","Johann Wolfgang","1984","ger","?itanie študujc?ej mld?ee"
"37","Die Leiden des jungen Werthers","Goethe","Johann Wolfgang","1972","ger","?itanie študujc?ej mld?ee"
"38","Mephisto","Mann","Klaus","2023","slv || ger","?Knjina zbirka ?Klasi?na Beletrina. ?Letn. ?4"
"39","Der Process","Kafka","Franz","2016","rus || ger","?kskljuzivnaja klassika"
"40","Im Westen Nichts Neues","Remarque","Erich Maria","2016","rus || ger","?kskljuzivnaja klassika"
"41","Die Verwandlung","Kafka","Franz","2016","tur || ger","?leti?im yay?nlar? "
"42","Das kunstseidene Mädchen","Keun","Irmgard","2018","tur || ger","?leti?im yay?nlar? "
"43","Herkunft","Stanisic","Sasa","2021","tur || ger","?leti?im yay?nlar? "
"44","Der Vorleser","Schlink","Bernhard","1997","tur || ger","?leti?im yay?nlar? "
"45","Der Verlorene","Treichel","Hans-Ulrich","2000","tur || ger","?leti?im yay?nlar? "
"46","Der Verschollene","Kafka","Franz","[2020]","tur || ger","?thaki yay?nlar? "
"47","Professor Unrat","Mann","Heinrich","2007","tur || ger","?thaki Yay?nlar? "
"48","Der Untertan","Mann","Heinrich","2012","tur || ger","?thaki yay?nlar? "
"49","Die Verwandlung","Kafka","Franz","2014 || 2014","tur || eng || ger","?thaki yay?nlar? "
