"","title_original","author_lastname","author_firstname","pub_year","language_codes","series_first"
"50","Schachnovelle","Zweig","Stefan","©2014. || 2014","tur || ger","?thaki yay?nlar? "
"51","In der Strafkolonie","Kafka","Franz","[2011]","tur || ger","?z Yay?nc?l?k : [...], Sanat - edebiyat dizisi"
"52","Der gute Mensch von Sezuan","Brecht","Bertolt","1975","ger","?zlem yay?nlar? "
"53","Die Blechtrommel","Grass","Günter","1979","ger","[Albatross]"
"54","Franziska Linkerhand","Reimann","Brigitte","2005","ger","[Aufbau-Taschenbuch] "
"55","Kleiner Mann - was nun?","Fallada","Hans","2005","ger","[Aufbau-Taschenbuch] "
"56","Bekenntnisse des Hochstaplers Felix Krull","Mann","Thomas","1963","ger","[Bokklubbens Bøker] ; [25] "
"57","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","[um 1939]","ger","[Bongs neue Klassische Bücherei]"
"58","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","[1966]","ger","[Chosen Books from abroad]"
"59","Michael Kohlhaas","Kleist","Heinrich","1967","ger","[Chosen Books from abroad]"
"60","Irrungen, Wirrungen","Fontane","Theodor","1968","ger","[Chosen Books from abroad]"
"61","Hamlet","Shakespeare","William","1948","ger","[Cornelsen-Fremdsprachenreihe] "
"62","Nathan der Weise","Lessing","Gotthold Ephraim","1973","ger","[Das Gute] : Mappe d. Menschlichkeit"
"63","Der Untertan","Mann","Heinrich","1918","ger","[Das Kaiserreich] / [Mann] "
"64","Das Marmorbild","Eichendorff","Joseph","[1925]","ger","[Das Schönste aus deutschen Dichtern] "
"65","Fabian. Die Geschichte eines Moralisten","Kästner","Erich","2004","ger","[Der Club, die Sammlung] "
"66","Die verlorene Ehre der Katharina Blum","Böll","Heinrich","2004","ger","[Der Club, die Sammlung] "
"67","Michael Kohlhaas","Kleist","Heinrich","1923","ger","[Der lichte Steg] "
"68","Woyzeck","Büchner","Georg","2004","fre || ger","[Des classiques]"
"69","Die Jungfrau von Orleans","Schiller","Friedrich","1939","ger","[Deutsche Dichtung]"
"70","Kabale und Liebe","Schiller","Friedrich","1939","ger","[Deutsche Dichtung]"
"71","Maria Stuart","Schiller","Friedrich","1939","ger","[Deutsche Dichtung]"
"72","Prinz Friedrich von Homburg","Kleist","Heinrich","1939","ger","[Deutsche Dichtung]"
"73","Irrungen, Wirrungen","Fontane","Theodor","1956","ger","[Deutsche Hausbücherei] "
"74","Michael Kohlhaas","Kleist","Heinrich","1957","ger","[Deutsche Klassiker]"
"75","Effi Briest","Fontane","Theodor","[1936]","ger","[Die Bibliothek der Romane] : [Reihe 1] "
"76","Michael Kohlhaas","Kleist","Heinrich","[1925]","ger","[Die bunten Romane der Weltliteratur] "
"77","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","[1928]","ger","[Die Schatulle] "
"78","Michael Kohlhaas","Kleist","Heinrich","[1929]","ger","[Die Schatulle] "
"79","Irrungen, Wirrungen","Fontane","Theodor","[1929]","ger","[Die Schatzkammer] "
"80","Frau Jenny Treibel","Fontane","Theodor","[1929]","ger","[Die Schatzkammer] "
"81","Mathilde Möhring","Fontane","Theodor","[1929]","ger","[Die Schatzkammer] "
"82","Dantons Tod","Büchner","Georg","1968","ger","[Drámák]"
"83","Die Räuber","Schiller","Friedrich","1954","ger","[Dramatischer Zirkel]"
"84","Leonce und Lena","Büchner","Georg","1955","ger","[Dramatischer Zirkel]"
"85","Der goldne Topf","Hoffmann","E.T.A.","[2018]","ger","[E.T.A. Hoffmann, Der goldne Topf] "
"86","Deutschland. Ein Wintermärchen","Heine","Heinrich","1970","ger","[Editio Simile] Edition Simile"
"87","Prinz Friedrich von Homburg","Kleist","Heinrich","1913","ger","[Für die Mitglieder der Maximilian-Gesellschaft] "
"88","Tonio Kröger","Mann","Thomas","[um 1925]","ger","[Fischer illustrierte Bücher] "
"89","Das Urteil","Kafka","Franz","2004","ger","[Fischer] "
"90","Tod in Venedig","Mann","Thomas","2004","ger","[Fischer] "
"91","Die Blechtrommel","Grass","Günter","1972","ger","[Fischer-Bücherei] "
"92","Weh dem, der aus der Reihe tanzt","Harig","Ludwig","1993","ger","Fischer-Taschenbücher"
"93","Das Schloss","Kafka","Franz","1992","|| ger","Fischer-Taschenbücher"
"94","Schachnovelle","Zweig","Stefan","1992","ger","Fischer-Taschenbücher"
"95","Tod in Venedig","Mann","Thomas","1992","ger","Fischer-Taschenbücher"
"96","Tod in Venedig","Mann","Thomas","1993","ger","Fischer-Taschenbücher"
"97","Tod in Venedig","Mann","Thomas","1993","ger","Fischer-Taschenbücher"
"98","Tod in Venedig","Mann","Thomas","1993","ger","Fischer-Taschenbücher"
"99","Das Schloss","Kafka","Franz","1992","|| ger","Fischer-Taschenbücher"
"100","Das Schloss","Kafka","Franz","1993","|| ger","Fischer-Taschenbücher"
"101","Das Schloss","Kafka","Franz","1994","ger","Fischer-Taschenbücher"
"102","Der Process","Kafka","Franz","1993","ger","Fischer-Taschenbücher"
"103","Der Verschollene","Kafka","Franz","1993","|| ger","Fischer-Taschenbücher"
"104","Das Schloss","Kafka","Franz","1993","|| ger","Fischer-Taschenbücher"
"105","Weh dem, der aus der Reihe tanzt","Harig","Ludwig","1994","ger","Fischer-Taschenbücher"
"106","Tonio Kröger","Mann","Thomas","1992","|| ger","Fischer-Taschenbücher"
"107","Tonio Kröger","Mann","Thomas","1993","|| ger","Fischer-Taschenbücher"
"108","Tonio Kröger","Mann","Thomas","1994","ger","Fischer-Taschenbücher"
"109","Tonio Kröger","Mann","Thomas","1973","ger","Fischer-Taschenbücher"
"110","Schachnovelle","Zweig","Stefan","1974","ger","Fischer-Taschenbücher"
"111","Das Urteil","Kafka","Franz","1973","ger","Fischer-Taschenbücher"
"112","Tod in Venedig","Mann","Thomas","1992","|| ger","Fischer-Taschenbücher"
"113","Tod in Venedig","Mann","Thomas","1993","ger","Fischer-Taschenbücher"
"114","Tod in Venedig","Mann","Thomas","1972","ger","Fischer-Taschenbücher"
"115","Tod in Venedig","Mann","Thomas","1973","ger","Fischer-Taschenbücher"
"116","Das Feuer","Barbusse","Henri","1986","|| ger","Fischer-Taschenbücher"
"117","Die Verwandlung","Kafka","Franz","1987","|| ger","Fischer-Taschenbücher"
"118","Die Verwandlung","Kafka","Franz","1988","|| ger","Fischer-Taschenbücher"
"119","Die Verwandlung","Kafka","Franz","1988","|| ger","Fischer-Taschenbücher"
"120","Die Verwandlung","Kafka","Franz","1989","|| ger","Fischer-Taschenbücher"
"121","Die Verwandlung","Kafka","Franz","1990","|| ger","Fischer-Taschenbücher"
"122","Die Verwandlung","Kafka","Franz","1992","|| ger","Fischer-Taschenbücher"
"123","Die Verwandlung","Kafka","Franz","1993","|| ger","Fischer-Taschenbücher"
"124","Die Verwandlung","Kafka","Franz","1994","ger","Fischer-Taschenbücher"
"125","Die Verwandlung","Kafka","Franz","1986","|| ger","Fischer-Taschenbücher"
"126","Die Verwandlung","Kafka","Franz","1986","|| ger","Fischer-Taschenbücher"
"127","Die Verwandlung","Kafka","Franz","1987","|| ger","Fischer-Taschenbücher"
"128","Bekenntnisse des Hochstaplers Felix Krull","Mann","Thomas","1971","ger","Fischer-Taschenbücher"
"129","Bekenntnisse des Hochstaplers Felix Krull","Mann","Thomas","1972","ger","Fischer-Taschenbücher"
"130","Bekenntnisse des Hochstaplers Felix Krull","Mann","Thomas","1973","ger","Fischer-Taschenbücher"
"131","Bekenntnisse des Hochstaplers Felix Krull","Mann","Thomas","1974","ger","Fischer-Taschenbücher"
"132","Buddenbrooks","Mann","Thomas","1989","ger","Fischer-Taschenbücher"
"133","Buddenbrooks","Mann","Thomas","1974","ger","Fischer-Taschenbücher"
"134","Buddenbrooks","Mann","Thomas","1977","ger","Fischer-Taschenbücher"
"135","Das Schloss","Kafka","Franz","1972","ger","Fischer-Taschenbücher"
"136","Das Schloss","Kafka","Franz","1973","ger","Fischer-Taschenbücher"
"137","Das Schloss","Kafka","Franz","1974","ger","Fischer-Taschenbücher"
"138","Mario und der Zauberer","Mann","Thomas","1990","ger","Fischer-Taschenbücher"
"139","Mario und der Zauberer","Mann","Thomas","1991","ger","Fischer-Taschenbücher"
"140","Mario und der Zauberer","Mann","Thomas","1992","ger","Fischer-Taschenbücher"
"141","Mario und der Zauberer","Mann","Thomas","1993","ger","Fischer-Taschenbücher"
"142","Mario und der Zauberer","Mann","Thomas","1989","ger","Fischer-Taschenbücher"
"143","Bekenntnisse des Hochstaplers Felix Krull","Mann","Thomas","1989","ger","Fischer-Taschenbücher"
"144","Bekenntnisse des Hochstaplers Felix Krull","Mann","Thomas","1989","ger","Fischer-Taschenbücher"
"145","Bekenntnisse des Hochstaplers Felix Krull","Mann","Thomas","1990","ger","Fischer-Taschenbücher"
"146","Bekenntnisse des Hochstaplers Felix Krull","Mann","Thomas","1991","ger","Fischer-Taschenbücher"
"147","Bekenntnisse des Hochstaplers Felix Krull","Mann","Thomas","1992","|| ger","Fischer-Taschenbücher"
"148","Bekenntnisse des Hochstaplers Felix Krull","Mann","Thomas","1993","|| ger","Fischer-Taschenbücher"
"149","Buddenbrooks","Mann","Thomas","1989","ger","Fischer-Taschenbücher"
"150","Buddenbrooks","Mann","Thomas","1990","ger","Fischer-Taschenbücher"
"151","Buddenbrooks","Mann","Thomas","1991","ger","Fischer-Taschenbücher"
"152","Buddenbrooks","Mann","Thomas","1991","ger","Fischer-Taschenbücher"
"153","Buddenbrooks","Mann","Thomas","1993","|| ger","Fischer-Taschenbücher"
"154","Buddenbrooks","Mann","Thomas","1994","ger","Fischer-Taschenbücher"
"155","Tonio Kröger","Mann","Thomas","1974","ger","Fischer-Taschenbücher Fischer-Taschenbuch"
"156","Nathan der Weise","Lessing","Gotthold Ephraim","1950","ger","[Foreign Language Classics in English]"
"157","Kabale und Liebe","Schiller","Friedrich","1953","ger","[Foreign Language Classics in English]"
"158","Maria Stuart","Schiller","Friedrich","1958","ger","[Foreign Language Classics in English]"
"159","Lenz","Büchner","Georg","[2018]","ger","[Georg Büchner, Lenz] "
"160","Lob des Zweifels","Brecht","Bertolt","1996","ger || ita","[Goldmann] "
"161","Agnes","Stamm","Peter","2000","ger","[Goldmann] "
"162","Agnes","Stamm","Peter","2003","ger","[Goldmann] "
"163","Tauben im Gras","Koeppen","Wolfgang","2001","ger","[Goldmann] "
"164","Agnes","Stamm","Peter","2001","ger","[Goldmann] "
"165","Die Leiden des jungen Werthers","Goethe","Johann Wolfgang","[1989]","|| ger","[Goldmann] "
"166","Nathan der Weise","Lessing","Gotthold Ephraim","1989","|| ger","[Goldmann] "
"167","Kabale und Liebe","Schiller","Friedrich","1988","|| ger","[Goldmann] "
"168","Die Judenbuche","Droste-Hülshoff","Annette","[1990]","|| ger","[Goldmann] "
"169","Peter Schlemihls wundersame Geschichte","Chamisso","Adelbert","[1994]","ger","[Goldmann] "
"170","Italienische Reise","Goethe","Johann Wolfgang","1986","ger","[Goldmann] "
"171","Italienische Reise","Goethe","Johann Wolfgang","1988","|| ger","[Goldmann] "
"172","Die Jungfrau von Orleans","Schiller","Friedrich","[1984]","ger","[Goldmann] "
"173","Peter Schlemihls wundersame Geschichte","Chamisso","Adelbert","1988","ger","[Goldmann] "
"174","Der Steppenwolf","Hesse","Hermann","1946","ger","[Gula Serien]"
"175","Tod in Venedig","Mann","Thomas","1963","ger","[Gyldendals Novelleserie]"
"176","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","1924","ger","[Hausschatzbuch] "
"177","Der Verbrecher aus verlorener Ehre","Schiller","Friedrich","[1921]","ger","[Hesperos-Druck] "
"178","Römische Elegien","Goethe","Johann Wolfgang","1919","ger","[Hesperos-Druck] "
"179","Effi Briest","Fontane","Theodor","1990","|| ger","[Heyne-Bücher] : 24, Studio Klassik"
"180","Die Marquise von O.","Kleist","Heinrich","[1943]","ger","[Hyperion-Bücherei]"
"181","Emilia Galotti","Lessing","Gotthold Ephraim","1929","ger","[Jahresgabe des Vereins der Freunde der Preußischen Staatsbibliothek] "
"182","Die Judenbuche","Droste-Hülshoff","Annette","[1924]","ger","[Klassiker des In- und Auslandes]"
"183","Effi Briest","Fontane","Theodor","[1929]","ger","[Klassische Bücher der Weltliteratur] "
"184","Frau Jenny Treibel","Fontane","Theodor","[1929]","ger","[Klassische Bücher der Weltliteratur] "
"185","Lenz","Büchner","Georg","[1979]","ger","[Klett-Lesehefte] Lesehefte : Ser. 4"
"186","Effi Briest","Fontane","Theodor","[1929]","ger","[Knaurs ewige Bücher]"
"187","Nach Mitternacht","Keun","Irmgard","1981","ger","[Le grand livre du mois]"
"188","Nathan der Weise","Lessing","Gotthold Ephraim","1950 || 1950","ger","[Lesestoffe der Weltliteratur]"
"189","Die Jungfrau von Orleans","Schiller","Friedrich","[1924]","ger","[Liliput-Bibliothek] "
"190","Iphigenie auf Tauris","Goethe","Johann Wolfgang","[1924]","ger","[Liliput-Bibliothek] "
"191","Die Judenbuche","Droste-Hülshoff","Annette","1984","ger","[Marmerboeken]"
"192","Effi Briest","Fontane","Theodor","1929","ger","[Meistererzähler] : [Neue Reihe]"
"193","Die Blechtrommel","Grass","Günter","1961","ger","[Moderneja Kirjailijoita]"
"194","Katz und Maus","Grass","Günter","1962","ger","[Moderneja Kirjailijoita]"
"195","Wünschelrute","Eichendorff","Joseph","[1924]","ger","[Neue Erzählungen für jung und alt] "
"196","Über das Marionettentheater","Kleist","Heinrich","1962","ger","[Neujahrsgabe] / Buchdruckerei Oswald Schmidt KG, Leipzig"
"197","Michael Kohlhaas","Kleist","Heinrich","[1925]","ger","[Onyx-Bücher]"
"198","Der Steppenwolf","Hesse","Hermann","2013","ita || ger","[Oscar Narrativa] "
"199","Verbrechen","Schirach","Ferdinand","2011","ger","[Piper] "
"200","Das Schloss","Kafka","Franz","1968","ger","[Pocket-]Salamander[s] ; 35"
"201","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","[1930]","ger","[Reclams Universal-Bibliothek] "
"202","Peter Schlemihls wundersame Geschichte","Chamisso","Adelbert","1939","ger","[Reclams Universal-Bibliothek] "
"203","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","1943","ger","[Reclams Universal-Bibliothek] "
"204","Nathan der Weise","Lessing","Gotthold Ephraim","1941","ger","[Reclams Universal-Bibliothek] "
"205","Nathan der Weise","Lessing","Gotthold Ephraim","1941","ger","[Reclams Universal-Bibliothek] "
"206","Von morgens bis mitternachts","Kaiser","Georg","1969","ger","[Reclams] Universal-Bibliothek"
"207","Professor Unrat","Mann","Heinrich","[19]52","ger","[Roman für alle] "
"208","Die Jungfrau von Orleans","Schiller","Friedrich","1941 || 1941 || 1941","ger","[Schöninghs Textausgaben] "
"209","Prinz Friedrich von Homburg","Kleist","Heinrich","1954","ger","[Schöninghs Textausgaben] "
"210","Maria Stuart","Schiller","Friedrich","1941 || 1941 || 1941","ger","[Schöninghs Textausgaben] "
"211","Michael Kohlhaas","Kleist","Heinrich","1950","ger","[Schöninghs Textausgaben] "
"212","Die Judenbuche","Droste-Hülshoff","Annette","1940 || 1940 || 1940","ger","[Schöninghs Textausgaben] "
"213","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","1941 || 1941 || 1941","ger","[Schöninghs Textausgaben] "
"214","Nathan der Weise","Lessing","Gotthold Ephraim","1950","ger","[Schöninghs Textausgaben] "
"215","Ein Volksfeind","Ibsen","Henrik","[1960]","ger","[Schöninghs] T[extausgaben] "
"216","Lenz","Büchner","Georg","1959","ger","[Schöninghs] T[extausgaben] "
"217","Im Krebsgang","Grass","Günter","2002","gre || ger","[Seir?nes] "
"218","Das Schloss","Kafka","Franz","1964","ger","[Seitsentähdet]"
"219","Die Blechtrommel","Grass","Günter","1979","ger","[Seitsentähdet-sarja]"
"220","Ansichten eines Clowns","Böll","Heinrich","1968","ger","[Seria Nike]"
"221","Peter Schlemihls wundersame Geschichte","Chamisso","Adelbert","[1948]","ger","[Sesam-Bücherei] "
"222","Effi Briest","Fontane","Theodor","[19]57","ger","[Taschenbuch-Roman] "
"223","Die Marquise von O.","Kleist","Heinrich","[19]57","ger","[Taschenbuch-Roman] "
"224","Frau Jenny Treibel","Fontane","Theodor","1959","ger","[Taschenbuchroman] "
"225","Penthesilea","Kleist","Heinrich","1954","ger","[Teatro]"
"226","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","1955","ger","[Translations of European classics]"
"227","Die Leiden des jungen Werthers","Goethe","Johann Wolfgang","1957","ger","[Translations of European classics]"
"228","Peter Schlemihls wundersame Geschichte","Chamisso","Adelbert","1957","ger","[Translations of European classics]"
"229","Die Judenbuche","Droste-Hülshoff","Annette","1958","ger","[Translations of European classics]"
"230","Undine","de la Motte Fouqué","Friedrich","1960","ger","[Translations of European classics]"
"231","Der Findling","Kleist","Heinrich","[1923]","ger","[Wandersmann-Bücherei] "
"232","Im Westen Nichts Neues","Remarque","Erich Maria","1966","ger","[Werke] / Remarque ; 1"
"233","Die Leiden des jungen Werthers","Goethe","Johann Wolfgang","2016 nyeon 8 wol 15 il","kor || ger","1 il 1 dog"
"234","Der Vorleser","Schlink","Bernhard","[2021]","geo || ger","10 romani dik?taturaze"
"235","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","2002","eng || ger","100 pages"
"236","Die Marquise von O.","Kleist","Heinrich","2003","eng || ger","100 pages"
"237","Über das Marionettentheater","Kleist","Heinrich","2009","srp || ger","1001 knjiga"
"238","Das Schloss","Kafka","Franz","2011","rum || ger","101 c?r?i de citit într-o via?? "
"239","Die Jahre der Liebe","Nizon","Paul","2021","ger || jpn","12 Jahre / Nao Maita"
"240","Maria Stuart","Schiller","Friedrich","[Juni 1993]","ger","12. Hamburger Leseheft"
"241","Faust I","Goethe","Johann Wolfgang","? 1954 || [2018]","ger","120 years Deutsche Grammophon"
"242","Faust I","Goethe","Johann Wolfgang","2021","ger","120 years Deutsche Grammophon"
"243","Das Schloss","Kafka","Franz","2023","cze || ger","1400"
"244","Buddenbrooks","Mann","Thomas","[2024]","ger","150 Jahre Thomas Mann"
"245","Bahnwärter Thiel","Hauptmann","Gerhart","[2007]","ger","179. Hamburger Leseheft"
"246","Deutschland. Ein Wintermärchen","Heine","Heinrich","2016","ger","1st. Page Classics"
"247","Deutschland. Ein Wintermärchen","Heine","Heinrich","2016","ger","1st. Page Classics"
"248","Miss Sara Sampson","Lessing","Gotthold Ephraim","2018","ger","249. Hamburger Leseheft"
"249","Der Untertan","Mann","Heinrich","2021","ger","255. Hamburger Leseheft"
"250","Der Verschollene","Kafka","Franz","2022","ger","258. Hamburger Leseheft"
"251","Vor Sonnenaufgang","Hauptmann","Gerhart","[2024]","ger","259. Hamburger Leseheft"
"252","Die Verwandlung","Kafka","Franz","2023","|| ger","30 Minuten - Weltliteratur kompakt"
"253","Bahnwärter Thiel","Hauptmann","Gerhart","2023","|| ger","30 Minuten: Weltliteratur kompakt"
"254","Die Räuber","Schiller","Friedrich","2023","|| ger","30 Minuten: Weltliteratur kompakt"
"255","Emilia Galotti","Lessing","Gotthold Ephraim","2023","|| ger","30 Minuten: Weltliteratur kompakt"
"256","Iphigenie auf Tauris","Goethe","Johann Wolfgang","2023","|| ger","30 Minuten: Weltliteratur kompakt"
"257","Kabale und Liebe","Schiller","Friedrich","2023","|| ger","30 Minuten: Weltliteratur kompakt"
"258","Nathan der Weise","Lessing","Gotthold Ephraim","2023","|| ger","30 Minuten: Weltliteratur kompakt"
"259","Herr Lehmann","Regener","Sven","2010","spa || ger","451.http://"
"260","Die Verwandlung","Kafka","Franz","2016ko otsailean","baq || ger","4nak"
"261","Ansichten eines Clowns","Böll","Heinrich","2012","geo || ger","50 cigni, romelic? unda caikit?xo, sanam c?oc?xali xar"
"262","Deutschland. Ein Wintermärchen","Heine","Heinrich","[1985]","ger","6 Reprints"
"263","Prinz Friedrich von Homburg","Kleist","Heinrich","1987","ger","75 [Fünfundsiebzig] Jahre Insel-Bücherei"
"264","Sommerhaus, später","Hermann","Judith","2014","chi || ger","99 jing dian wen ku, Duan jing dian = Short classics : Di 2 ji"
"265","Der ewige Spießer","Horváth","Ödön","2014","ger","99 Welt-Klassiker"
"266","Effi Briest","Fontane","Theodor","2015","ger","99 Welt-Klassiker"
"267","Die Marquise von O.","Kleist","Heinrich","2017","ger","99 Welt-Klassiker"
"268","Die Marquise von O.","Kleist","Heinrich","2017","ger","99 Welt-Klassiker"
"269","Der Steppenwolf","Hesse","Hermann","1971","ger","A Bantam Book"
"270","Tonio Kröger","Mann","Thomas","1970","ger","A Bantam modern Classic"
"271","Katz und Maus","Grass","Günter","1969","ger","A Blaisdell Book in the modern languages"
"272","Dantons Tod","Büchner","Georg","1969","ger","A Blaisdell Book in the modern languages"
"273","Das Schloss","Kafka","Franz","1954","ger","A Borzoi Book"
"274","Bekenntnisse des Hochstaplers Felix Krull","Mann","Thomas","1955","ger","A Borzoi Book"
"275","Tod in Venedig","Mann","Thomas","1965","ger","A Borzoi Book"
"276","Im Westen Nichts Neues","Remarque","Erich Maria","1996","eng || ger","A Bulfinch Press book"
"277","Im Westen Nichts Neues","Remarque","Erich Maria","1996","eng || ger","A Fawcett Columbine book"
"278","Im Westen Nichts Neues","Remarque","Erich Maria","1959","eng","A Fawcett crest book"
"279","Homo faber","Frisch","Max","[1971, c. 1959]","ger","A Harvest book"
"280","Homo faber","Frisch","Max","[1994]","eng || ger","A Harvest HBJ book"
"281","Katz und Maus","Grass","Günter","1963","ger","A Helen and Kurt Wolff Book"
"282","Die Verwandlung","Kafka","Franz","1993","cat || ger","A la lluna de València"
"283","Im Westen Nichts Neues","Remarque","Erich Maria","1969","ger","A Mayflower Paperback"
"284","Die heilige Johanna der Schlachthöfe","Brecht","Bertolt","1976","ger","A Methuen modern play"
"285","Woyzeck","Büchner","Georg","1979","ger","A Methuen theatre classic"
"286","Dantons Tod","Büchner","Georg","1968","ger","A Methuen Theatre Classic"
"287","Die heilige Johanna der Schlachthöfe","Brecht","Bertolt","1971","ger","A Midland book"
"288","Der Verschollene","Kafka","Franz","1992","eng || ger","A Minerva paperback"
"289","Das Schloss","Kafka","Franz","1993","eng || ger","A Minerva paperback"
"290","Der Verschollene","Kafka","Franz","1993","eng || ger","A Minerva paperback"
"291","Die verlorene Ehre der Katharina Blum","Böll","Heinrich","1993","eng || ger","A Minerva paperback"
"292","Buddenbrooks","Mann","Thomas","1996","eng || ger","A Minerva paperback"
"293","Bekenntnisse des Hochstaplers Felix Krull","Mann","Thomas","1997","eng || ger","A Minerva paperback"
"294","Die Blechtrommel","Grass","Günter","1997","eng || ger","A Minerva paperback"
"295","Katz und Maus","Grass","Günter","1997","eng || ger","A Minerva paperback"
"296","Buddenbrooks","Mann","Thomas","1998","eng || ger","A Minerva paperback"
"297","Prinz Friedrich von Homburg","Kleist","Heinrich","1978","ger","A New Directions book"
"298","Heimsuchung","Erpenbeck","Jenny","2010","eng || ger","A new directions paperbook"
"299","Gehen, ging, gegangen","Erpenbeck","Jenny","[[2017]","eng || ger","A new directions paperbook"
"300","Michael Kohlhaas","Kleist","Heinrich","2020","eng || ger","A new directions paperbook"
"301","Tauben im Gras","Koeppen","Wolfgang","[2020]","eng || ger","A new directions paperbook"
"302","Prinz Friedrich von Homburg","Kleist","Heinrich","1978","ger","A new directions paperbook"
