"source","target"
2026,"…liner Roma…"
2013,"Abendstimmung in Scheveningen"
2014,"Abendstimmung in Scheveningen"
2010,"Abschied von den Eltern"
2012,"Ach Liebste / laß uns eilen"
2017,"Agnes"
2018,"Agnes"
2007,"An die Nachgeborenen"
2011,"Anekdote aus dem letzten preußischen Kriege"
2009,"Ansichten eines Clowns"
2010,"Antigone"
2011,"Antigone"
2012,"Antigone"
2013,"Antigone"
2014,"Antigone"
2015,"Antigone"
2016,"Antigone"
2006,"Antigone"
2007,"Antigone"
2009,"Antigone"
2026,"Über das Marionettentheater"
2021,"Über die ästetische Erziehung der Menschen in einer Reihe von Briefen"
2013,"Über die Bezeichnung Emigranten"
2014,"Über die Bezeichnung Emigranten"
2023,"Appell an den Geist"
2010,"Aus dem Leben eines Taugenichts"
2011,"Aus dem Leben eines Taugenichts"
2015,"Aus dem Leben eines Taugenichts"
2016,"Aus dem Leben eines Taugenichts"
2017,"Aus dem Leben eines Taugenichts"
2019,"Aus dem Leben eines Taugenichts"
2020,"Aus dem Leben eines Taugenichts"
2021,"Aus dem Leben eines Taugenichts"
2006,"Bahnwärter Thiel"
2007,"Bahnwärter Thiel"
2017,"Bahnwärter Thiel"
2018,"Bahnwärter Thiel"
2024,"Bahnwärter Thiel"
2025,"Bahnwärter Thiel"
2026,"Bahnwärter Thiel"
2012,"Bei den weißen Stiefmütterchen"
2008,"Bekenntnisse des Hochstaplers Felix Krull"
2011,"Bekenntnisse des Hochstaplers Felix Krull"
2012,"Bekenntnisse des Hochstaplers Felix Krull"
2023,"Bekenntnisse des Hochstaplers Felix Krull"
2014,"Berlin Alexanderplatz"
2015,"Berlin Alexanderplatz"
2016,"Berlin Alexanderplatz"
2020,"Berlin Alexanderplatz"
2022,"Blüthenstaub"
2021,"Brief an den Prinzen friedrich Christian II"
2006,"Brief des Lord Chandos"
2007,"Brief des Lord Chandos"
2013,"Brief des Lord Chandos"
2014,"Brief des Lord Chandos"
2015,"Brief des Lord Chandos"
2016,"Brief des Lord Chandos"
2023,"Bruder Hitler"
2007,"Buddenbrooks"
2008,"Buddenbrooks"
2009,"Buddenbrooks"
2010,"Buddenbrooks"
2013,"Buddenbrooks"
2014,"Buddenbrooks"
2013,"Corpus Delicti"
2014,"Corpus Delicti"
2015,"Corpus Delicti"
2016,"Corpus Delicti"
2017,"Corpus Delicti"
2018,"Corpus Delicti"
2019,"Corpus Delicti"
2020,"Corpus Delicti"
2021,"Corpus Delicti"
2022,"Corpus Delicti"
2023,"Corpus Delicti"
2024,"Corpus Delicti"
2025,"Corpus Delicti"
2026,"Corpus Delicti"
2008,"Dantons Tod"
2009,"Dantons Tod"
2010,"Dantons Tod"
2017,"Dantons Tod"
2018,"Dantons Tod"
2011,"Das Erdbeben in Chili"
2008,"Das Feuer"
2009,"Das Feuer"
2006,"Das Göttliche"
2023,"Das Göttliche"
2024,"Das Göttliche"
2025,"Das Göttliche"
2026,"Das Göttliche"
2019,"Das Haus in der Dorotheenstraße"
2020,"Das Haus in der Dorotheenstraße"
2021,"Das Haus in der Dorotheenstraße"
2006,"Das kunstseidene Mädchen"
2025,"Das kunstseidene Mädchen"
2026,"Das kunstseidene Mädchen"
2007,"Das Marmorbild"
2008,"Das Marmorbild"
2009,"Das Marmorbild"
2021,"Das Marmorbild"
2022,"Das Marmorbild"
2023,"Das Marmorbild"
2024,"Das Marmorbild"
2025,"Das Marmorbild"
2010,"Das Muschelessen"
2013,"Das Parfum"
2014,"Das Parfum"
2015,"Das Parfum"
2016,"Das Parfum"
2017,"Das Parfum"
2018,"Das Parfum"
2014,"Das Schloss"
2015,"Das Schloss"
2016,"Das Schloss"
2022,"Das Schloss Dürande"
2011,"Das Urteil"
2012,"Das Urteil"
2013,"Das Urteil"
2017,"Der Augsburger Kreidekreis"
2018,"Der Augsburger Kreidekreis"
2019,"Der Augsburger Kreidekreis"
2007,"Der Besuch der alten Dame"
2009,"Der Besuch der alten Dame"
2010,"Der Besuch der alten Dame"
2011,"Der Besuch der alten Dame"
2012,"Der Besuch der alten Dame"
2013,"Der Besuch der alten Dame"
2014,"Der Besuch der alten Dame"
2015,"Der Besuch der alten Dame"
2016,"Der Besuch der alten Dame"
2017,"Der Besuch der alten Dame"
2018,"Der Besuch der alten Dame"
2019,"Der Besuch der alten Dame"
2020,"Der Besuch der alten Dame"
2021,"Der Besuch der alten Dame"
2022,"Der Besuch der alten Dame"
2023,"Der Besuch der alten Dame"
2024,"Der Besuch der alten Dame"
2025,"Der Besuch der alten Dame"
2026,"Der Besuch der alten Dame"
2010,"Der blonde Eckbert"
2011,"Der blonde Eckbert"
2012,"Der blonde Eckbert"
2025,"Der ewige Spießer"
2012,"Der Findling"
2019,"Der goldne Topf"
2020,"Der goldne Topf"
2021,"Der goldne Topf"
2022,"Der goldne Topf"
2021,"Der gute Gott von Manhattan"
2017,"Der gute Mensch von Sezuan"
2018,"Der gute Mensch von Sezuan"
2019,"Der gute Mensch von Sezuan"
2021,"Der Hessische Landbote"
2022,"Der Hessische Landbote"
2023,"Der Hessische Landbote"
2025,"Der Hessische Landbote"
2010,"Der Hofmeister"
2022,"Der Philister vor, in und nach der Geschichte"
2013,"Der Process"
2014,"Der Process"
2015,"Der Process"
2016,"Der Process"
2017,"Der Process"
2018,"Der Process"
2026,"Der Process"
2023,"Der Russe ist einer, der Birken liebt"
2024,"Der Russe ist einer, der Birken liebt"
2025,"Der Russe ist einer, der Birken liebt"
2006,"Der Sandmann"
2007,"Der Sandmann"
2008,"Der Sandmann"
2009,"Der Sandmann"
2010,"Der Sandmann"
2015,"Der Sandmann"
2016,"Der Sandmann"
2017,"Der Sandmann"
2018,"Der Sandmann"
2019,"Der Sandmann"
2020,"Der Sandmann"
2021,"Der Sandmann"
2022,"Der Sandmann"
2023,"Der Sandmann"
2025,"Der Sandmann"
2026,"Der Sandmann"
2010,"Der Sonntag, an dem ich Weltmeister wurde"
2009,"Der Spinnerin Nachtlied"
2012,"Der Spinnerin Nachtlied"
2007,"Der Steppenwolf"
2009,"Der Steppenwolf"
2010,"Der Steppenwolf"
2011,"Der Steppenwolf"
2012,"Der Steppenwolf"
2019,"Der Steppenwolf"
2020,"Der Steppenwolf"
2021,"Der Steppenwolf"
2022,"Der Steppenwolf"
2021,"Der Trafikant"
2022,"Der Trafikant"
2023,"Der Trafikant"
2024,"Der Trafikant"
2025,"Der Trafikant"
2023,"Der Untertan"
2024,"Der Untertan"
2017,"Der Verbrecher aus verlorener Ehre"
2018,"Der Verbrecher aus verlorener Ehre"
2021,"Der Verlorene"
2015,"Der Verschollene"
2016,"Der Verschollene"
2023,"Der Verschollene"
2024,"Der Verschollene"
2025,"Der Verschollene"
2026,"Der Verschollene"
2006,"Der Vorleser"
2011,"Der Zauberlehrling"
2015,"Der zerbrochne Krug"
2016,"Der zerbrochne Krug"
2026,"Der zerbrochne Krug"
2006,"Deutschland. Ein Wintermärchen"
2017,"Deutschland. Ein Wintermärchen"
2018,"Deutschland. Ein Wintermärchen"
2022,"Deutschland. Ein Wintermärchen"
2023,"Deutschland. Ein Wintermärchen"
2021,"Deutschland. Ein Wintermärchen"
2007,"Die Berliner Antigone"
2009,"Die Berliner Antigone"
2010,"Die Berliner Antigone"
2011,"Die Berliner Antigone"
2012,"Die Berliner Antigone"
2013,"Die Berliner Antigone"
2014,"Die Berliner Antigone"
