"source","target"
"NI","…liner Roma…"
"HH","Abendstimmung in Scheveningen"
"HH","Abschied von den Eltern"
"NI","Ach Liebste / laß uns eilen"
"BW","Agnes"
"NI","An die Nachgeborenen"
"NI","Anekdote aus dem letzten preußischen Kriege"
"HH","Ansichten eines Clowns"
"SN","Antigone"
"BB","Antigone"
"NI","Über das Marionettentheater"
"NI","Über die ästetische Erziehung der Menschen in einer Reihe von Briefen"
"HH","Über die Bezeichnung Emigranten"
"NI","Appell an den Geist"
"HB","Aus dem Leben eines Taugenichts"
"HH","Aus dem Leben eines Taugenichts"
"HE","Aus dem Leben eines Taugenichts"
"SN","Bahnwärter Thiel"
"HH","Bahnwärter Thiel"
"SL","Bahnwärter Thiel"
"NI","Bahnwärter Thiel"
"NI","Bei den weißen Stiefmütterchen"
"NI","Bekenntnisse des Hochstaplers Felix Krull"
"HH","Bekenntnisse des Hochstaplers Felix Krull"
"BW","Bekenntnisse des Hochstaplers Felix Krull"
"HB","Berlin Alexanderplatz"
"NI","Berlin Alexanderplatz"
"NI","Blüthenstaub"
"NI","Brief an den Prinzen friedrich Christian II"
"NI","Brief des Lord Chandos"
"HE","Brief des Lord Chandos"
"NW","Brief des Lord Chandos"
"NI","Bruder Hitler"
"HE","Buddenbrooks"
"HH","Buddenbrooks"
"NW","Buddenbrooks"
"SN","Corpus Delicti"
"HE","Corpus Delicti"
"HB","Corpus Delicti"
"SL","Corpus Delicti"
"BW","Corpus Delicti"
"BE","Corpus Delicti"
"BB","Corpus Delicti"
"HH","Dantons Tod"
"HB","Dantons Tod"
"BW","Dantons Tod"
"NI","Dantons Tod"
"NI","Das Erdbeben in Chili"
"HB","Das Feuer"
"NI","Das Göttliche"
"SH","Das Göttliche"
"NW","Das Haus in der Dorotheenstraße"
"NI","Das kunstseidene Mädchen"
"HH","Das kunstseidene Mädchen"
"HE","Das Marmorbild"
"NI","Das Marmorbild"
"BW","Das Marmorbild"
"BE","Das Marmorbild"
"BB","Das Marmorbild"
"HH","Das Muschelessen"
"HE","Das Parfum"
"HB","Das Schloss"
"BE","Das Schloss Dürande"
"BB","Das Schloss Dürande"
"HE","Das Urteil"
"HB","Der Augsburger Kreidekreis"
"SN","Der Besuch der alten Dame"
