"source","target"
"SN","Der blonde Eckbert"
"NI","Der ewige Spießer"
"HH","Der Findling"
"BW","Der goldne Topf"
"NI","Der goldne Topf"
"BW","Der gute Gott von Manhattan"
"HB","Der gute Mensch von Sezuan"
"HB","Der Hessische Landbote"
"NI","Der Hessische Landbote"
"HH","Der Hofmeister"
"NI","Der Philister vor, in und nach der Geschichte"
"SN","Der Process"
"HB","Der Process"
"HE","Der Process"
"NW","Der Process"
"HB","Der Russe ist einer, der Birken liebt"
"SN","Der Sandmann"
"HE","Der Sandmann"
"HB","Der Sandmann"
"NW","Der Sandmann"
"HH","Der Sonntag, an dem ich Weltmeister wurde"
"NI","Der Spinnerin Nachtlied"
"SN","Der Steppenwolf"
"BW","Der Steppenwolf"
"BW","Der Trafikant"
"NW","Der Trafikant"
"HH","Der Untertan"
"NI","Der Untertan"
"HH","Der Verbrecher aus verlorener Ehre"
"BW","Der Verlorene"
"HH","Der Verschollene"
"BW","Der Verschollene"
"SH","Der Verschollene"
"BB","Der Vorleser"
"SN","Der Vorleser"
"NI","Der Zauberlehrling"
"HH","Der zerbrochne Krug"
"BW","Der zerbrochne Krug"
"BY","Der zerbrochne Krug"
"BE","Der zerbrochne Krug"
"BB","Der zerbrochne Krug"
"HB","Der zerbrochne Krug"
"HE","Der zerbrochne Krug"
"MV","Der zerbrochne Krug"
"NI","Der zerbrochne Krug"
"NW","Der zerbrochne Krug"
"RP","Der zerbrochne Krug"
"SL","Der zerbrochne Krug"
"SN","Der zerbrochne Krug"
"ST","Der zerbrochne Krug"
"SH","Der zerbrochne Krug"
"TH","Der zerbrochne Krug"
"HH","Deutschland. Ein Wintermärchen"
"HB","Deutschland. Ein Wintermärchen"
"SN","Die Berliner Antigone"
"BB","Die Blechtrommel"
"HB","Die Dreigroschenoper"
"HB","Die Furcht vor der Freiheit"
"HE","Die heilige Johanna der Schlachthöfe"
"HB","Die heilige Johanna der Schlachthöfe"
"NI","Die Horen"
"HH","Die Jahre der Liebe"
"HH","Die Judenbuche"
"HE","Die Jungfrau von Orleans"
"HB","Die Kindermörderin"
"HH","Die Leiden des jungen Werthers"
"HB","Die Leiden des jungen Werthers"
"NI","Die Leiden des jungen Werthers"
"HB","Die letzten Tage der Menschheit"
"HH","Die Marquise von O."
"NI","Die Marquise von O."
"HE","Die Marquise von O."
"NW","Die Marquise von O."
"SN","Die Physiker"
"HE","Die Physiker"
"NI","Die Physiker"
"HH","Die Räuber"
"NI","Die Ratten"
"HB","Die Soldaten"
"HH","Die Soldaten"
"HB","Die unwürdige Greisin"
"HH","Die verlorene Ehre der Katharina Blum"
"SN","Die Verwandlung"
"HE","Die Verwandlung"
"HB","Die Verwandlung"
"NI","Die Verwandlung"
"NW","Die Verwandlung"
"HH","Don Karlos: Infant von Spanien"
"NI","Don Karlos: Infant von Spanien"
"HE","Don Karlos: Infant von Spanien"
"SN","Effi Briest"
"HH","Effi Briest"
"HE","Effi Briest"
"SH","Effi Briest"
"NI","Ein apokalyptisches Fragment"
"NI","Ein Volksfeind"
"NI","Ein Wort"
"HH","Einer"
"HH","Emigranten-Monolog"
"HH","Emilia Galotti"
"SN","Emilia Galotti"
"HB","Emilia Galotti"
"NI","Entdeckung an einer jungen Frau"
"NI","Erstes Leid"
"NI","Fabian. Die Geschichte eines Moralisten"
"HB","Faserland"
"NI","Faserland"
"SN","Faust I"
"HE","Faust I"
"HH","Faust I"
"HB","Faust I"
"NI","Faust I"
"NW","Faust I"
"BW","Faust I"
"SL","Faust I"
"NI","Faust II"
"NI","Früh im Wagen"
"HH","Franziska Linkerhand"
"HE","Frau Jenny Treibel"
"SL","Furor. Theater der Gegenwart"
"NI","Gehen, ging, gegangen"
"NI","Geschichten aus dem Wiener Wald. Volksstück in drei Teilen"
"NI","Hälfte des Lebens"
"HE","Halbschatten"
"SN","Hamlet"
"HB","Heeresbericht"
"HE","Heimsuchung"
"BW","Heimsuchung"
"BY","Heimsuchung"
"BE","Heimsuchung"
"BB","Heimsuchung"
"HB","Heimsuchung"
"HH","Heimsuchung"
"MV","Heimsuchung"
"NI","Heimsuchung"
"NW","Heimsuchung"
"RP","Heimsuchung"
"SL","Heimsuchung"
"SN","Heimsuchung"
"ST","Heimsuchung"
"SH","Heimsuchung"
"TH","Heimsuchung"
"SN","Heldenplatz"
"HB","Herkunft"
"HB","Herr Lehmann"
"HB","Hikikomori"
"SN","Hiob"
"NW","Hiob"
"SH","Hiob"
"HE","Homo faber"
"BW","Homo faber"
"NI","Ich fürchte mich so vor der Menschen Wort"
"HH","Im Krebsgang"
"SN","Im Krebsgang"
"HH","Im Kreise gelausen"
"HB","Im Westen Nichts Neues"
"NI","Im Westen Nichts Neues"
"HB","In der Strafkolonie"
"SN","In der Strafkolonie"
"BW","In der Strafkolonie"
"HE","In seiner frühen Kindheit ein Garten"
"SN","In seiner frühen Kindheit ein Garten"
"NI","In Stahlgewitter"
"NI","Ingrid Babendererde. Reifeprüfung 1953"
"BB","Iphigenie auf Tauris"
"HH","Iphigenie auf Tauris"
"HB","Iphigenie auf Tauris"
"NW","Iphigenie auf Tauris"
"NI","Iphigenie auf Tauris"
"BE","Iphigenie auf Tauris"
"HE","Irrungen, Wirrungen"
"NI","Irrungen, Wirrungen"
"NI","Italienische Reise"
"SN","Jakob der Lügner"
"HB","Jakob der Lügner"
"HH","König Ödipus"
"HH","Kabale und Liebe"
"HB","Kabale und Liebe"
"NI","Kabale und Liebe"
"NW","Kabale und Liebe"
"HE","Kabale und Liebe"
"SH","Kabale und Liebe"
"NI","Kaspar Hauser Lied"
"BB","Katz und Maus"
"HH","Katz und Maus"
"NI","Katz und Maus"
"BE","Klein Zaches genannt Zinnober"
"BB","Klein Zaches genannt Zinnober"
"HB","Kleiner Mann - was nun?"
"NI","Kleiner Mann - was nun?"
"SN","Landnahme"
"NI","Lass rauschen, Lieb, lass rauschen"
"SN","Leben des Galilei"
"HE","Leben des Galilei"
"BW","Leben des Galilei"
"NI","Lenz"
"HB","Lenz"
"HE","Lenz"
"HB","Leonce und Lena"
"NI","Leonce und Lena"
"NI","Linguistik"
"NI","Lob des Lernens"
"NI","Lob des Zweifels"
"NI","Maifest"
"HH","Man frage nicht"
"HH","Maria Magdalena"
"HH","Maria Stuart"
"HE","Maria Stuart"
"SN","Maria Stuart"
"HB","Maria Stuart"
"BE","Maria Stuart"
"BB","Maria Stuart"
"SH","Maria Stuart"
"HH","Mario und der Zauberer"
"SN","Mario und der Zauberer"
"HE","Mario und der Zauberer"
"NW","Mario und der Zauberer"
"BW","Mario und der Zauberer"
"NI","Mario und der Zauberer"
"HB","Mario und der Zauberer"
"HB","Masse-Mensch"
"NI","Mathilde Möhring"
"HH","Mathilde Möhring"
"SN","Medea"
"NI","Medea. Stimmen"
"HE","Medea. Stimmen"
"SN","Medea. Stimmen"
"HH","Mein blaues Klavier"
"HB","Meine Emancipation"
"SN","Mephisto"
"HB","Michael Kohlhaas"
"HE","Michael Kohlhaas"
"SH","Michael Kohlhaas"
"HH","Michael Kohlhaas"
"SN","Michael Kohlhaas"
"NI","Willkommen und Abschied"
"HB","Miss Sara Sampson"
"NI","Mondnacht"
"NI","Mutterliebe"
"HB","Nach Mitternacht"
"NI","Nachtcafé"
"HB","Nachts ist es leise in Teheran"
"BE","Nathan der Weise"
"BB","Nathan der Weise"
"NI","Nathan der Weise"
"NW","Nathan der Weise"
"SL","Nathan der Weise"
"HH","Penthesilea"
"HB","Peter Schlemihls wundersame Geschichte"
"HH","Prinz Friedrich von Homburg"
"HE","Prinz Friedrich von Homburg"
"NW","Prinz Friedrich von Homburg"
"HH","Professor Unrat"
"NI","Prometheus"
"HH","Räuberbande"
"NI","Römische Elegien"
"SN","Schachnovelle"
"NI","Schlechte Zeiten für Lyrik"
"HH","Schlechte Zeiten für Lyrik"
"HB","Seeschlacht"
"NW","Sommerhaus, später"
"NI","Sprachgitter"
"HB","Tauben fliegen auf"
"HH","Tauben im Gras"
"NW","Tauben im Gras"
"SL","Terror"
"HH","Tod in Venedig"
"SN","Tod in Venedig"
"SN","Tonio Kröger"
"NI","Top Dogs"
"HH","Transit"
"NI","Under der linden"
"SN","Undine"
"NI","Unter der Drachenwand"
"NW","Unter der Drachenwand"
"HH","Verbrechen"
"NI","Von deutscher Baukunst"
"HB","Von morgens bis mitternachts"
"HH","Vor dem Fest"
"HH","Vor Sonnenaufgang"
"NI","Wünschelrute"
"SL","Weh dem, der aus der Reihe tanzt"
"HE","Woyzeck"
"NW","Woyzeck"
"HB","Woyzeck"
"BW","Woyzeck"
"BE","Woyzeck"
"BB","Woyzeck"
"HH","Woyzeck"
"SN","Woyzeck"
"SH","Woyzeck"
"NI","Woyzeck"
"SH","Zehn"
"HH","Ziehende Landschaft"
